yy1	myEd	sumNormW	sumLWall
15	2	.0433756	0
32	1	.1021815	0
95	1	.1700547	0
97	2	.2038423	0
114	2	.2465108	0
154	1	.2752171	0
158	2	.308585	0
175	2	.3523985	0
203	1	.4192623	0
207	1	.4587475	0
234	1	.4994413	0
253	2	.5480434	0
296	1	.60559	0
383	2	.6698786	0
397	1	.7171746	0
407	2	.7697874	0
446	2	.8147888	0
455	2	.8625448	0
456	2	.8946605	0
461	2	.9451482	0
504	1	.972926	0
515	2	1.010921	0
575	2	1.071613	0
657	3	1.137623	0
669	2	1.209521	0
690	2	1.258655	0
694	2	1.309425	0
737	2	1.36887	0
753	1	1.420932	0
825	1	1.45846	0
869	2	1.494588	0
882	2	1.531982	0
905	1	1.584676	0
930	1	1.632675	0
959	2	1.690525	0
991	2	1.736799	0
1004	1	1.777345	0
1044	2	1.82936	0
1064	2	1.860369	0
1141	1	1.913414	0
1210	1	1.953841	0
1219	1	2.025892	0
1350	1	2.074307	0
1365	2	2.132575	0
1389	2	2.173356	0
1408	2	2.217698	0
1541	2	2.257926	0
1582	1	2.298035	0
1591	1	2.333822	0
1627	1	2.372745	0
1631	1	2.431046	0
1656	1	2.482487	0
1679	2	2.544004	0
1703	2	2.576644	0
1729	1	2.624701	0
1792	2	2.679584	0
1827	2	2.75521	0
1846	2	2.808843	0
1864	2	2.865697	0
1885	3	2.898342	0
1902	1	2.943884	0
1904	1	3.002538	0
1978	2	3.041334	0
2007	1	3.08636	0
2014	1	3.144123	0
2018	1	3.175387	0
2021	2	3.222139	0
2160	2	3.261038	0
2171	1	3.304285	0
2177	2	3.353651	0
2192	2	3.378791	0
2210	1	3.409816	0
2241	1	3.457108	0
2244	1	3.490793	0
2318	2	3.526038	0
2361	1	3.575861	0
2412	2	3.619583	0
2464	2	3.65631	0
2491	2	3.692705	0
2501	1	3.737931	0
2502	1	3.774284	0
2524	1	3.827514	0
2547	2	3.878038	0
2629	1	3.936321	0
2712	2	3.982551	0
2812	1	4.038458	0
2818	1	4.082034	0
2839	2	4.122958	0
2887	1	4.190153	0
2894	1	4.228244	0
2918	2	4.262616	0
2931	2	4.331482	0
2998	1	4.362507	0
3018	1	4.39424	0
3074	2	4.434969	0
3087	2	4.471959	0
3115	1	4.526296	0
3118	2	4.563974	0
3156	1	4.602105	0
3177	1	4.645836	0
3198	1	4.698405	0
3215	2	4.740191	0
3249	1	4.778239	0
3323	2	4.832536	0
3337	2	4.88648	0
3389	2	4.925443	0
3437	2	4.982622	0
3460	1	5.027886	0
3478	2	5.06389	0
3505	1	5.117351	0
3506	2	5.155203	0
3514	1	5.214496	0
3515	2	5.249343	0
3551	1	5.288458	0
3552	2	5.31737	0
3556	1	5.364511	0
3570	2	5.403724	0
3589	1	5.437794	0
3644	2	5.468266	0
3733	1	5.527428	0
3735	1	5.564783	0
3742	2	5.606959	0
3785	1	5.652142	0
3787	2	5.710202	0
3807	2	5.784434	0
3837	1	5.833099	0
3857	1	5.873973	0
3898	2	5.911613	0
3913	1	5.954224	0
3938	1	6.005155	0
3944	2	6.060725	0
3967	2	6.101804	0
4014	2	6.136552	0
4043	2	6.17812	0
4081	2	6.208574	0
4126	1	6.267984	0
4231	2	6.319565	0
4245	2	6.355224	0
4250	2	6.396577	0
4261	1	6.434357	0
4270	2	6.481653	0
4284	1	6.536783	0
4318	2	6.572908	0
4332	1	6.610258	0
4346	2	6.664685	0
4356	2	6.727918	0
4404	2	6.781198	0
4413	1	6.814557	0
4429	2	6.853412	0
4433	1	6.893947	0
4435	3	6.933524	0
4438	2	6.988141	0
4446	1	7.044385	0
4452	1	7.076609	0
4454	2	7.11386	0
4482	2	7.152797	0
4488	2	7.19176	0
4501	1	7.23611	0
4509	2	7.273747	0
5	2	7.311316	3.55e-07
316	2	7.371199	9.21e-07
449	2	7.412357	1.31e-06
730	2	7.501198	2.15e-06
1426	3	7.574586	2.84e-06
1600	2	7.611042	3.19e-06
2720	1	7.66137	3.66e-06
3272	2	7.707486	4.10e-06
3778	2	7.76889	4.68e-06
3869	2	7.84133	5.36e-06
3991	1	7.890954	5.83e-06
2980	2	7.924259	7.72e-06
1399	2	7.954747	9.73e-06
83	2	8.020793	.0000147
282	2	8.074315	.0000188
3918	3	8.118537	.0000221
3580	2	8.183975	.0000277
4118	1	8.228908	.0000315
246	2	8.260526	.0000345
2271	2	8.318308	.0000399
2658	2	8.352745	.0000432
3346	3	8.400645	.0000477
3824	2	8.427661	.0000503
3864	1	8.465382	.0000538
3981	2	8.49789	.0000569
3566	3	8.567107	.0000647
3550	2	8.604419	.0000697
1883	2	8.701342	.0000828
4474	2	8.740584	.0000898
1822	1	8.788465	.0000989
4032	2	8.842205	.000109
3276	1	8.899549	.0001204
4489	2	8.959858	.0001335
1970	2	9.024884	.0001482
2897	2	9.071878	.0001589
1417	2	9.111034	.0001685
4011	1	9.182933	.0001862
1019	2	9.226902	.0001978
1303	1	9.265536	.0002087
1764	2	9.319485	.000224
3853	2	9.327148	.0002262
3151	2	9.367028	.0002386
4484	2	9.416425	.0002554
2423	3	9.469189	.0002754
2181	2	9.530709	.000303
644	2	9.568197	.0003207
1071	2	9.63225	.000351
2805	1	9.6948	.0003805
3842	2	9.757823	.0004103
4110	2	9.815599	.0004376
4443	2	9.855664	.0004565
1901	3	9.946256	.0004993
2579	1	9.998875	.0005291
3094	3	10.03961	.0005522
2022	1	10.10331	.0005895
3429	2	10.14327	.0006129
749	2	10.1835	.0006387
1037	3	10.25082	.000682
3567	3	10.29779	.0007136
2091	2	10.34962	.0007489
967	2	10.43153	.0008061
1269	3	10.49722	.0008521
2439	2	10.5383	.0008847
4137	2	10.57422	.0009138
850	2	10.61649	.000949
932	2	10.65801	.0009843
548	2	10.7056	.001026
4456	2	10.74081	.0010573
2505	2	10.77885	.0010921
2602	2	10.84352	.0011514
189	2	10.88462	.0011902
396	2	10.94701	.0012491
398	2	10.97741	.0012778
646	2	11.01637	.0013146
862	2	11.05773	.0013537
1207	3	11.10758	.0014008
1289	2	11.1495	.0014404
1534	2	11.21724	.0015044
1670	2	11.25478	.0015398
1842	2	11.25502	.0015401
2016	2	11.29217	.0015752
2536	2	11.34128	.0016216
2726	2	11.38995	.0016675
2881	2	11.43963	.0017145
2997	1	11.48018	.0017528
3614	1	11.54065	.0018099
3814	1	11.58719	.0018538
4436	3	11.64943	.0019126
3444	2	11.68245	.0019457
1069	3	11.71808	.0019817
1475	2	11.76	.0020245
3355	2	11.80942	.0020759
3092	2	11.84407	.0021125
4296	3	11.87189	.0021419
270	1	11.9313	.0022088
2093	2	11.96255	.002246
1753	2	11.99448	.002286
436	1	12.04974	.002359
750	2	12.0889	.0024145
3900	2	12.15732	.0025126
2783	3	12.19092	.0025622
687	2	12.24128	.0026414
4460	3	12.27678	.0026973
1415	1	12.3231	.0027717
1164	2	12.38706	.0028766
3053	2	12.42932	.0029469
2286	2	12.4789	.0030302
280	2	12.52069	.0031005
3275	2	12.56607	.0031776
290	2	12.60452	.0032503
486	2	12.66497	.0033645
615	3	12.71636	.0034616
803	2	12.74607	.0035177
899	2	12.78591	.003593
935	1	12.84532	.0037052
1775	2	12.88903	.0037878
1802	1	12.92827	.0038619
1853	1	12.9854	.0039698
2035	2	13.03057	.0040552
2219	2	13.06925	.0041282
2434	2	13.12385	.0042314
2945	3	13.17557	.0043291
3243	2	13.21423	.0044021
3592	2	13.28925	.0045439
3819	2	13.32029	.0046025
4505	2	13.38616	.0047269
4009	1	13.41986	.0047944
1872	3	13.45522	.004866
509	2	13.49935	.0049568
1945	3	13.55224	.0050657
1152	1	13.61507	.0051985
4513	2	13.6435	.0052586
491	2	13.69363	.0053647
1273	1	13.74654	.0054787
1458	2	13.78982	.0055719
1963	2	13.83115	.0056617
3657	2	13.866	.0057385
1359	2	13.9295	.0058885
1401	2	13.98342	.0060158
2643	2	14.03252	.0061317
3697	2	14.12343	.0063464
3775	2	14.157	.0064257
3825	1	14.21145	.0065543
4091	1	14.24974	.0066447
3943	2	14.30891	.0067855
422	2	14.35178	.0068892
1720	2	14.41249	.007036
1797	2	14.46054	.0071531
2298	3	14.50409	.0072608
4183	2	14.54057	.0073528
1433	2	14.58752	.0074747
760	2	14.62403	.0075699
3452	2	14.65518	.0076511
962	1	14.69862	.007766
1424	2	14.7434	.0078849
4191	3	14.79712	.0080298
2205	2	14.84261	.0081528
3789	3	14.8866	.0082721
1227	2	14.97136	.0085041
424	2	15.06398	.0087586
1213	2	15.10763	.0088815
79	1	15.15577	.0090179
213	2	15.18989	.0091146
450	2	15.23718	.0092486
607	1	15.27031	.0093425
1261	1	15.31447	.0094676
1504	2	15.35465	.0095815
1544	1	15.38719	.0096737
1592	1	15.43781	.0098171
1751	2	15.49749	.0099863
1804	2	15.54657	.0101253
2057	2	15.59187	.0102537
2268	2	15.63473	.0103752
2972	1	15.67138	.010479
3461	1	15.7033	.0105695
3716	2	15.74528	.0106884
3739	3	15.78922	.0108129
4418	2	15.84072	.0109589
822	1	15.89008	.0111032
2331	2	15.92962	.0112197
2078	1	15.98081	.0113735
4177	2	16.01834	.0114898
2094	3	16.07582	.0116707
1264	2	16.14172	.011883
2793	2	16.19291	.0120494
250	2	16.22178	.0121448
2625	2	16.27406	.0123177
1496	1	16.31582	.0124567
929	1	16.35169	.0125774
1003	2	16.39716	.0127311
1924	2	16.46978	.0129908
2395	1	16.51561	.0131562
3726	2	16.54456	.0132606
3901	2	16.58169	.0133951
1516	1	16.63269	.0135859
257	2	16.68138	.0137698
819	2	16.72228	.0139244
827	2	16.78902	.0141765
1404	2	16.82499	.0143124
1431	2	16.90545	.0146164
2050	2	16.9333	.0147217
2829	2	17.00011	.0149741
3457	2	17.05848	.0151946
4520	2	17.09966	.0153502
2899	2	17.14989	.0155405
831	2	17.19693	.0157227
439	3	17.25757	.0159731
3569	2	17.31787	.0162237
2266	2	17.34842	.0163509
3218	2	17.40598	.0165924
1249	2	17.46742	.0168535
3264	2	17.5273	.017108
2959	2	17.57353	.017308
2520	3	17.62306	.0175279
3370	2	17.67596	.0177628
2157	2	17.71814	.0179525
4325	2	17.7822	.0182408
318	2	17.82942	.0184549
2874	2	17.89458	.0187557
226	2	17.93553	.0189452
340	2	17.96604	.0190865
1459	2	18.02405	.0193579
324	1	18.07732	.0196095
535	2	18.1059	.0197445
648	2	18.16966	.0200456
1272	1	18.22425	.0203034
1572	2	18.25208	.0204348
1625	3	18.29707	.0206473
1693	2	18.35299	.0209114
2567	2	18.39697	.0211192
2576	2	18.4749	.0214872
2935	1	18.51551	.021679
3055	2	18.56744	.0219243
3098	2	18.62016	.0221733
3230	2	18.67429	.0224289
3314	1	18.7492	.0227827
3557	2	18.80707	.023056
3605	2	18.85123	.0232646
4149	2	18.88726	.0234348
4321	2	18.94847	.0237238
4350	1	18.9992	.0239635
4447	2	19.0326	.0241212
2287	2	19.06607	.0242815
1542	3	19.12114	.024549
1676	2	19.17732	.0248245
3208	1	19.23189	.025092
2148	2	19.27614	.0253127
3258	2	19.35117	.025689
1767	3	19.40617	.0259711
2085	2	19.47016	.0262992
4084	3	19.52801	.0265958
307	2	19.56035	.0267638
325	3	19.6168	.0270571
1750	2	19.65627	.0272659
118	1	19.69854	.0274947
722	2	19.74101	.0277258
633	2	19.80973	.0281009
159	3	19.84821	.0283133
586	2	19.91864	.0287032
2443	3	19.94705	.0288608
2653	3	20.00972	.0292101
149	2	20.0694	.0295483
1564	2	20.11066	.0297821
1785	2	20.14431	.0299729
2095	2	20.2089	.0303389
2198	3	20.2827	.0307572
2237	1	20.35073	.0311428
2377	2	20.39496	.0313934
3376	2	20.4458	.0316816
358	3	20.5028	.0320051
381	2	20.55015	.032282
143	2	20.59456	.0325421
1165	2	20.63844	.0328032
2552	1	20.69058	.0331175
620	1	20.73272	.0333762
950	2	20.78037	.0336768
2206	2	20.82995	.034
1692	2	20.90979	.0345279
2146	1	20.95095	.0348001
2165	2	21.01446	.03522
2194	2	21.05753	.0355047
2200	1	21.099	.035779
2654	2	21.1282	.035972
3503	2	21.16079	.0361876
3868	3	21.21421	.0365408
4153	2	21.2575	.036827
658	3	21.32459	.0372711
614	2	21.38486	.0376778
1740	2	21.44375	.0380779
1608	2	21.49354	.0384236
4464	2	21.54915	.0388163
2129	2	21.59031	.0391079
3719	2	21.65535	.0395687
1255	2	21.70615	.0399353
2039	3	21.76205	.0403439
3344	2	21.83403	.04087
3878	2	21.89216	.0412962
3335	2	21.94004	.0416505
3809	2	22.00125	.042106
1917	2	22.06939	.0426208
94	2	22.10743	.0429083
704	2	22.181	.0434643
1184	1	22.21909	.0437521
1186	3	22.28378	.044241
1609	2	22.326	.04456
2277	1	22.40307	.0451424
2466	2	22.45093	.045504
2716	3	22.50988	.0459495
2872	2	22.55955	.0463248
3919	2	22.60319	.0466546
4199	1	22.66534	.0471243
4468	2	22.70046	.0473896
2989	2	22.75233	.0477855
598	2	22.79857	.0481393
298	2	22.8698	.0487045
268	2	22.91874	.0490975
2382	2	22.96315	.049454
4348	2	23.01935	.0499084
1892	2	23.06261	.0502597
2104	2	23.11651	.0507022
1847	3	23.15643	.0510301
838	2	23.21344	.051502
3584	2	23.26814	.0519557
3283	2	23.30387	.0522558
1153	2	23.30607	.0522743
2150	2	23.36759	.0527973
3022	2	23.41843	.0532295
3107	3	23.49043	.0538416
3498	2	23.5426	.0542851
3756	2	23.57954	.0545992
4289	3	23.62113	.0549527
2979	2	23.65483	.0552423
3579	2	23.72676	.055884
352	2	23.77033	.0562749
1611	2	23.82231	.0567543
3777	3	23.91989	.057654
508	1	23.96562	.0580782
1181	2	24.00731	.0584691
8	1	24.05049	.058877
188	2	24.11158	.0594541
214	2	24.15719	.0598849
562	1	24.20037	.0602928
738	2	24.2677	.0609288
1479	1	24.31353	.0613617
