yy1	myEd	sumEdW	sumLW
32	1	.6310678	0
95	1	1.359441	0
154	1	1.6675	0
203	1	2.385041	0
207	1	2.808771	0
234	1	3.245472	0
296	1	3.863026	0
397	1	4.370578	0
504	1	4.668672	0
753	1	5.227362	0
825	1	5.630095	0
905	1	6.195569	0
930	1	6.710671	0
1004	1	7.145793	0
1141	1	7.715045	0
1210	1	8.148881	0
1219	1	8.922079	0
1350	1	9.441643	0
1582	1	9.872064	0
1591	1	10.25611	0
1627	1	10.6738	0
1631	1	11.29946	0
1656	1	11.85149	0
1729	1	12.36719	0
1902	1	12.85593	0
1904	1	13.48536	0
2007	1	13.96855	0
2014	1	14.58842	0
2018	1	14.92394	0
2171	1	15.38805	0
2210	1	15.72099	0
2241	1	16.22849	0
2244	1	16.58998	0
2361	1	17.12465	0
2501	1	17.60999	0
2502	1	18.00011	0
2524	1	18.57134	0
2629	1	19.1968	0
2812	1	19.79675	0
2818	1	20.26439	0
2887	1	20.98549	0
2894	1	21.39425	0
2998	1	21.72719	0
3018	1	22.06772	0
3115	1	22.65083	0
3156	1	23.06003	0
3177	1	23.52933	0
3198	1	24.09346	0
3249	1	24.50177	0
3460	1	24.98752	0
3505	1	25.56122	0
3514	1	26.19752	0
3551	1	26.61728	0
3556	1	27.12317	0
3589	1	27.48878	0
3733	1	28.12367	0
3735	1	28.52454	0
3785	1	29.00941	0
3837	1	29.53165	0
3857	1	29.97028	0
3913	1	30.42755	0
3938	1	30.97411	0
4126	1	31.61165	0
4261	1	32.01709	0
4284	1	32.60871	0
4332	1	33.00952	0
4413	1	33.3675	0
4433	1	33.8025	0
4446	1	34.40608	0
4452	1	34.75188	0
4501	1	35.22782	0
2720	1	35.76792	.0000574
3991	1	36.30045	.0001141
4118	1	36.78264	.0005756
3864	1	37.18743	.001006
1822	1	37.70126	.0020989
3276	1	38.31664	.0034731
4011	1	39.0882	.0056064
1303	1	39.5028	.0069292
2805	1	40.17406	.0104983
2579	1	40.73873	.0141012
2022	1	41.42234	.0186015
2997	1	41.85746	.0232288
3614	1	42.50647	.0301305
3814	1	43.00584	.0354409
270	1	43.64338	.0435122
436	1	44.23633	.0523401
1415	1	44.73335	.0613254
935	1	45.3709	.0748851
1802	1	45.79203	.0838419
1853	1	46.40512	.0968814
4009	1	46.76678	.1050351
1152	1	47.44099	.1210817
1273	1	48.0088	.1348487
3825	1	48.59311	.1503832
4091	1	49.00403	.1613077
962	1	49.47018	.1751879
79	1	49.98676	.1916681
607	1	50.34227	.2030103
1261	1	50.81622	.2181305
1544	1	51.16545	.229272
1592	1	51.70863	.2466008
2972	1	52.10194	.2591486
3461	1	52.44447	.2700763
822	1	52.97425	.2875144
2078	1	53.52361	.3060922
1496	1	53.97184	.3228887
929	1	54.35675	.3374687
2395	1	54.84847	.3574439
1516	1	55.39577	.3804914
324	1	55.96749	.4108907
1272	1	56.55341	.442045
2935	1	56.98919	.465216
3314	1	57.7931	.5079615
4350	1	58.33756	.5369111
3208	1	58.92311	.5692317
118	1	59.3767	.5968731
2237	1	60.10683	.64346
2552	1	60.66647	.6814296
620	1	61.1186	.7126818
2146	1	61.56031	.7455633
2200	1	62.00534	.7786914
1184	1	62.41405	.8134626
2277	1	63.24114	.8838264
4199	1	63.90808	.9405658
508	1	64.39888	.9918199
8	1	64.86231	1.041102
562	1	65.32574	1.090384
1479	1	65.81759	1.142689
1663	1	66.39542	1.207211
4491	1	66.84167	1.259412
454	1	67.44864	1.333179
1859	1	67.92497	1.391939
4048	1	68.94837	1.518909
4439	1	69.55325	1.594297
1765	1	69.92783	1.642098
2864	1	70.38277	1.70025
1594	1	70.69244	1.740624
3662	1	71.18797	1.805866
3587	1	71.67587	1.877987
3727	1	72.024	1.933519
3639	1	72.5555	2.022337
1758	1	73.10098	2.11689
1383	1	73.71335	2.224161
2195	1	74.19742	2.312898
1574	1	74.61544	2.393338
818	1	75.0952	2.48905
160	1	75.54284	2.584256
3320	1	76.21362	2.727261
1531	1	76.80881	2.855116
1067	1	77.3118	2.972794
2253	1	77.89568	3.109395
2155	1	78.47491	3.249307
1474	1	78.58986	3.279623
3078	1	79.06764	3.406647
1788	1	79.70387	3.577082
488	1	80.22805	3.744309
1688	1	80.69946	3.894705
2189	1	81.28295	4.080853
4417	1	81.76408	4.234348
712	1	82.15804	4.360631
300	1	82.70306	4.537404
3023	1	83.09679	4.700341
4189	1	83.11213	4.7085
378	1	83.69585	5.018938
1585	1	84.11613	5.246555
3927	1	84.7848	5.609488
54	1	85.19579	5.857744
2820	1	85.81019	6.26874
4386	1	86.25407	6.575565
492	1	86.86401	7.006011
4518	1	87.27605	7.305595
1317	1	87.99117	7.907462
29	1	88.73206	8.630433
242	1	89.63754	9.518365
4120	1	90.4985	10.38817
392	1	90.55617	10.44949
3166	1	91.14912	11.08005
4299	1	91.63295	11.59457
4278	1	92.29107	12.32243
1969	1	92.77004	12.93366
4139	1	93.16929	13.51592
956	1	93.23572	13.62291
2209	1	93.88066	14.7562
2440	1	94.32216	15.65004
3281	1	94.39867	15.82742
1306	1	94.97448	17.29908
1145	1	95.49623	19.10232
1301	1	96.26097	21.86349
216	1	96.3302	22.12079
3955	1	96.34563	22.20726
1024	1	96.49001	23.24368
4354	1	96.98656	26.94173
2247	1	97.4576	31.3056
795	1	97.98358	39.51498
341	1	98.83485	59.87038
3810	1	99.08	66.7358
1908	1	99.88921	90.02695
1662	1	99.89144	90.09447
66	1	99.89468	90.29487
1773	1	99.89671	90.43034
740	1	99.99866	99.72794
3211	1	100	100
15	2	.0823301	0
97	2	.1464614	0
114	2	.2274491	0
158	2	.2907838	0
175	2	.3739448	0
253	2	.4661951	0
383	2	.5882195	0
407	2	.6880824	0
446	2	.7734982	0
455	2	.8641425	0
456	2	.9251005	0
461	2	1.02093	0
515	2	1.093046	0
575	2	1.208245	0
669	2	1.344713	0
690	2	1.437974	0
694	2	1.534337	0
737	2	1.647169	0
869	2	1.715742	0
882	2	1.78672	0
959	2	1.896523	0
991	2	1.984353	0
1044	2	2.083081	0
1064	2	2.141938	0
1365	2	2.252534	0
1389	2	2.32994	0
1408	2	2.414104	0
1541	2	2.490461	0
1679	2	2.607225	0
1703	2	2.669178	0
1792	2	2.773352	0
1827	2	2.916895	0
1846	2	3.018694	0
1864	2	3.126608	0
1978	2	3.200246	0
2021	2	3.288984	0
2160	2	3.362816	0
2177	2	3.456515	0
2192	2	3.504234	0
2318	2	3.571131	0
2412	2	3.654118	0
2464	2	3.723828	0
2491	2	3.792909	0
2547	2	3.888807	0
2712	2	3.976554	0
2839	2	4.054231	0
2918	2	4.119472	0
2931	2	4.250185	0
3074	2	4.327493	0
3087	2	4.397702	0
3118	2	4.469218	0
3215	2	4.548531	0
3323	2	4.65159	0
3337	2	4.753981	0
3389	2	4.827933	0
3437	2	4.936463	0
3478	2	5.004801	0
3506	2	5.076648	0
3515	2	5.142791	0
3552	2	5.197668	0
3570	2	5.272097	0
3644	2	5.329936	0
3742	2	5.409989	0
3787	2	5.520191	0
3807	2	5.661091	0
3898	2	5.732534	0
3944	2	5.83801	0
3967	2	5.915982	0
4014	2	5.981935	0
4043	2	6.060835	0
4081	2	6.118639	0
4231	2	6.216545	0
4245	2	6.284226	0
4250	2	6.362718	0
4270	2	6.452489	0
4318	2	6.521057	0
4346	2	6.624363	0
4356	2	6.744385	0
4404	2	6.845514	0
4429	2	6.919264	0
4438	2	7.022932	0
4454	2	7.093637	0
4482	2	7.167543	0
4488	2	7.241496	0
4509	2	7.312934	0
5	2	7.384243	1.98e-06
316	2	7.497904	5.14e-06
449	2	7.576025	7.31e-06
730	2	7.744653	.000012
1600	2	7.813848	.0000139
3272	2	7.901379	.0000163
3778	2	8.017928	.0000196
3869	2	8.155423	.0000234
2980	2	8.218639	.0000339
1399	2	8.276507	.0000452
83	2	8.401869	.000073
282	2	8.503457	.0000956
3580	2	8.627664	.0001266
246	2	8.687677	.0001433
2271	2	8.797353	.0001737
2658	2	8.862717	.0001919
3824	2	8.913996	.0002061
3981	2	8.975701	.0002233
3550	2	9.046522	.0002508
1883	2	9.230489	.0003238
4474	2	9.304975	.0003632
4032	2	9.406976	.0004198
4489	2	9.521448	.0004929
1970	2	9.644873	.0005752
2897	2	9.734069	.0006346
1417	2	9.808391	.0006883
1019	2	9.891848	.0007531
1764	2	9.994246	.0008384
3853	2	10.00879	.0008506
3151	2	10.08449	.0009199
4484	2	10.17824	.0010136
2181	2	10.29501	.001168
644	2	10.36617	.0012668
1071	2	10.48775	.0014356
3842	2	10.60737	.0016017
4110	2	10.71703	.0017539
4443	2	10.79308	.0018595
3429	2	10.86893	.0019901
749	2	10.94529	.0021343
2091	2	11.04366	.0023309
967	2	11.19912	.0026503
2439	2	11.2771	.0028322
4137	2	11.34528	.002995
850	2	11.42552	.0031911
932	2	11.50432	.003388
548	2	11.59465	.0036209
4456	2	11.66148	.0037954
2505	2	11.73368	.0039895
2602	2	11.85642	.0043203
189	2	11.93444	.0045369
396	2	12.05287	.0048658
398	2	12.11056	.005026
646	2	12.18451	.0052313
862	2	12.26301	.0054492
1289	2	12.34257	.0056702
1534	2	12.47114	.0060272
1670	2	12.54241	.006225
1842	2	12.54286	.0062263
2016	2	12.61337	.0064221
2536	2	12.70659	.0066809
2726	2	12.79896	.0069374
2881	2	12.89326	.0071992
3444	2	12.95594	.0073837
1475	2	13.03551	.0076223
3355	2	13.12932	.0079088
3092	2	13.19507	.0081133
2093	2	13.2544	.0083209
1753	2	13.315	.0085441
750	2	13.38934	.0088537
3900	2	13.5192	.0094011
687	2	13.61479	.0098435
1164	2	13.7362	.0104288
3053	2	13.81642	.0108208
2286	2	13.91051	.0112859
280	2	13.98982	.0116779
3275	2	14.07597	.0121084
290	2	14.14895	.0125137
486	2	14.26368	.0131508
803	2	14.32006	.0134639
899	2	14.39568	.0138839
1775	2	14.47865	.0143446
2035	2	14.56439	.0148207
2219	2	14.6378	.0152284
2434	2	14.74144	.0158039
3243	2	14.81482	.0162115
3592	2	14.95721	.0170022
3819	2	15.01613	.0173294
4505	2	15.14115	.0180236
509	2	15.2249	.0185302
4513	2	15.27886	.0188655
491	2	15.37402	.0194574
1458	2	15.45616	.0199774
1963	2	15.53462	.0204784
3657	2	15.60076	.0209071
1359	2	15.72129	.0217438
1401	2	15.82364	.0224542
2643	2	15.91683	.0231011
3697	2	16.08938	.024299
3775	2	16.1531	.0247413
3943	2	16.26541	.0255271
422	2	16.34678	.0261055
1720	2	16.462	.0269245
1797	2	16.55322	.027578
4183	2	16.62247	.0280914
1433	2	16.71157	.0287714
760	2	16.78088	.0293025
3452	2	16.84	.0297556
1424	2	16.92501	.0304189
2205	2	17.01136	.0311046
1227	2	17.17224	.0323992
424	2	17.34804	.0338193
1213	2	17.4309	.0345048
213	2	17.49567	.0350444
450	2	17.58542	.035792
1504	2	17.66168	.0364272
1751	2	17.77497	.0373709
1804	2	17.86812	.0381468
2057	2	17.9541	.0388631
2268	2	18.03546	.0395408
3716	2	18.11513	.0402044
4418	2	18.21286	.0410186
2331	2	18.28791	.0416687
4177	2	18.35914	.0423175
1264	2	18.48423	.043502
2793	2	18.5814	.0444301
250	2	18.6362	.0449627
2625	2	18.73541	.0459269
1003	2	18.82172	.0467848
1924	2	18.95956	.0482338
3726	2	19.01451	.0488166
3901	2	19.085	.0495669
257	2	19.17742	.0505933
819	2	19.25505	.0514555
827	2	19.38173	.0528625
1404	2	19.45	.0536207
